"","dyad_name","gender","GES_score","age","language","parent","experience","regular_contact","ID","id_in_group","stim_category","stim_number","time","soundLevel","startSound","RT","RT_from_onset","position","response"
"1","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Alarm",2,17:38:30,4,48057,0,0,"Left","none"
"2","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Cries",2,17:34:10,4,48058,0,0,"Left","none"
"3","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Alarm",3,17:35:47,4,48057,0,0,"Left","none"
"4","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Alarm",4,17:22:05,4,48056,0,0,"Left","none"
"5","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Cries",1,17:41:27,4,48059,0,0,"Left","none"
"6","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Cries",3,17:28:46,4,48048,0,0,"Left","none"
"7","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Cries",4,17:31:28,4,48057,0,0,"Left","none"
"8","ADVANCED PINK OWL","Male",2.96,25,"Danish","No","No","No","1 ADVANCED PINK OWL",1,"Alarm",1,17:25:08,4,48057,0,0,"Left","none"
"9","AMENABLE GREEN FERRET","Male",2.72,31,"Other","No","No","Yes","1 AMENABLE GREEN FERRET",1,"Cries",2,11:43:08,4,48057,0,0,"Left","none"
"10","AMENABLE GREEN FERRET","Male",2.72,31,"Other","No","No","Yes","1 AMENABLE GREEN FERRET",1,"Alarm",3,11:50:44,4,48048,0,0,"Left","none"
"11","AMENABLE GREEN FERRET","Male",2.72,31,"Other","No","No","Yes","1 AMENABLE GREEN FERRET",1,"Alarm",1,11:56:54,4,48057,0,0,"Left","none"
